Antigüedad Número Saldo % sobre el Saldo Saldo Tipo Interés
(en meses) Préstamos Vivo Saldo Vivo Medio Inicial Medio ponder.
5-10 599 110.688.220,95 11,47 184.788 114.549.513 3,03
11-16 902 159.150.789,28 16,50 176.442 168.786.462 3,17
17 - 22 776 125.128.786,77 12,97 161.248 135.742.807 3,23
23 - 28 729 110.253.120,33 11,43 151.239 121.236.704 3,29
29 - 34 664 87.530.472,92 9,07 131.823 98.602.675 3,26
35 - 40 748 93.964.286,16 9,74 125.621 106.426.328 3,37
41 - 46 774 89.318.618,73 9,26 115.399 101.910.085 3,28
47 - 52 699 73.423.512,95 7,61 105.041 86.921.171 3,34
53 - 58 588 59.593.629,98 6,18 101.350 72.889.785 3,29
a partir de 59 600 55.580.637,82 5,76 92.634 67.839.663 3,41
Totales 7.079 964.632.075,89 100,00 136.267 1.074.905.193 3,27
