FLUJOS POR CADA BONO SIN RETENCIÓN PARA EL TOMADOR TAA=6% (en euros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Serie AS,,,,,,,Serie AG,,,,,,,Serie B,,,,,,,Serie C,,,,,,,Serie D,,,,,,
,,,,Serie AS,,,,,,,Serie AG,,,,,,,Serie B,,,,,,,Serie C,,,,,,,Serie D,,,,,
,Fecha de Pago,,,Ppal.,,Inter.,,Flujo,,,Ppal.,,Inter.,,Flujo,,,Ppal.,,Inter.,,Flujo,,,Ppal.,,Inter.,,Flujo,,,Ppal.,,Inter.,,Flujo,
,,,,Amort,,Brutos,,Total,,,Amort,,Brutos,,Total,,,Amort,,Brutos,,Total,,,Amort,,Brutos,,Total,,,Amort,,Brutos,,Total,
17/12/2016
17/03/2017
17/06/2017
17/09/2017
17/12/2017
17/03/2018
17/06/2018
17/09/2018
17/12/2018,,,0,00 0,00 0,00
0,00 0,00 0,00
0,00 0,00 0,00
0,00 0,00 0,00
0,00 0,00 0,00
0,00 0,00 0,00
0,00 0,00 0,00
0,00 0,00 0,00
0,00 0,00 0,00,,,,,,,2.821,24 542,73 3.363,97
2.771,12 505,15 3.276,26
2.680,94 468,24 3.149,18
2.615,50 432,52 3.048,03
2.499,91 397,69 2.897,59
2.420,17 364,39 2.784,56
2.251,50 332,15 2.583,65
2.156,52 302,16 2.458,69
20.528,24 273,44 20.801,67,,,,,,,2.451,32 549,45 3.000,76
2.407,76 511,40 2.919,17
2.329,41 474,04 2.803,45
2.272,55 437,88 2.710,44
2.172,12 402,61 2.574,73
2.102,84 368,90 2.471,74
1.956,28 336,27 2.292,54
1.873,76 305,90 2.179,66
17.836,54 276,82 18.113,37,,,,,,,2.451,32 593,70 3.045,02
2.407,76 552,59 2.960,36
2.329,41 512,21 2.841,63
2.272,55 473,15 2.745,70
2.172,12 435,04 2.607,16
2.102,84 398,61 2.501,45
1.956,28 363,35 2.319,63
1.873,76 330,54 2.204,30
17.836,54 299,12 18.135,66,,,,,,,0,00 1.119,75 1.119,75
0,00 1.119,75 1.119,75
0,00 1.119,75 1.119,75
0,00 1.119,75 1.119,75
0,00 1.119,75 1.119,75
0,00 1.119,75 1.119,75
0,00 1.119,75 1.119,75
0,00 1.119,75 1.119,75
50.000,00 1.119,75 51.119,75,,,,,,
Total,,,100.000,,11.902,,111.902,,,100.000,,40.466,,140.466,,,100.000,,44.277,,144.277,,,100.000,,47.843,,147.843,,,100.000,,69.620,,169.620,,
,,,,100.000,,11.902,,,,,100.000,,40.466,,,,,100.000,,44.277,,,,,100.000,,47.843,,,,,100.000,,69.620,,,
