FONDOS DE TITULIZACION DE ACTIVOS
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTA SANTANDER Serie A1 595.357.901,60 Euribor 3M + 0.02% S&P España / Fitch España 27/10/2005 3.100.000.000,00 €
EMPRESAS 1 Serie A2 1.240.000.000,00 Euribor 3M + 0.12%
Serie B 80.600.000,00 Euribor 3M + 0.21%
Serie C 96.100.000,00 Euribor 3M + 0.29%
Serie D 170.500.000,00 Euribor 3M + 0.59%
Total 2.182.557.901,60 €
FTA UCI 14 Serie A 998.851.009,25 Euribor 3M + 0.15% S&P España / Fitch España 30/11/2005 1.350.000.000,00 €
Serie B 34.100.000,00 Euribor 3M + 0.29%
Serie C 38.400.000,00 Euribor 3M + 0.58%
Total 1.071.351.009,25 €
FTA UCI 15 Serie A 1.114.843.630,30 Euribor 3M + 0.14% S&P España / Fitch España 28/04/2006 1.430.000.010,22 €
Serie B 32.900.000,00 Euribor 3M + 0.27%
Serie C 56.500.000,00 Euribor 3M + 0.53%
Serie D 21.600.000,00 Euribor 3M + 0.58%
Total 1.225.843.630,30 €
FTA SANTANDER Serie A 1.670.052.651,75 Euribor 3M + 0.15% S&P España / Moody´s España 30/06/2006 1.823.552.651,75 €
HIPOTECARIO 2 Serie B 51.800.000,00 Euribor 3M + 0.20%
Serie C 32.300.000,00 Euribor 3M + 0.30%
Serie D 49.800.000,00 Euribor 3M + 0.55%
Serie E 19.600.000,00 Euribor 3M + 2.10%
Serie F 17.600.000,00 Euribor 3M + 1.00%
Total 1.841.152.651,75 €
FTA SANTANDER CONSUMER Serie A1 1.282.500.000,00 Euribor 3M + 0.15% S&P España / Fitch España 10/10/2006 1.350.000.000,00 €
SPAIN AUTO 06 Serie A2 22.300.000,00 Euribor 3M + 0.20%
Serie B 22.300.000,00 Euribor 3M + 0.30%
Serie C 22.900.000,00 Euribor 3M + 0.55%
Serie D 10.200.000,00 Euribor 3M + 2.10%
Total 1.360.200.000,00 €
FTA UCI 16 Serie A1 323.175.487,00 Euribor 3M + 0.06% S&P España / Fitch España 18/10/2006 1.800.000.000,00 €
Serie A2 1.247.600.000,00 Euribor 3M + 0.15%
Serie B 72.000.000,00 Euribor 3M + 0.30%
Serie C 41.400.000,00 Euribor 3M + 0.55%
Serie D 9.000.000,00 Euribor 3M + 2.25%
Serie E 19.800.000,00 Euribor 3M + 2.30%
Total 1.712.975.487,00 €
FTPYME BANESTO 2 Serie A1 400.000.000,00 € Euribor 3M + 0.13% S&P España / Moody´s España 17/11/2006 1.000.000.000,00 €
Serie A2 541.700.000,00 € Euribor 3M + 0.16% Fitch España
Serie B 24.300.000,00 € Euribor 3M + 0.27%
Serie C 34.000.000,00 € Euribor 3M + 0.54%
Total 2.712.975.487,00 €
FTA Serie A Euribor 3M + 0.15% S&P España / Moody´s España 14/12/2006 1.900.000.000,00 €
1.738.500.000,00
FINANCIACION 1 Serie B 25.700.000,00 Euribor 3M + 0.20%
Serie C 61.700.000,00 Euribor 3M + 0.30%
Serie D 47.500.000,00 Euribor 3M + 0.55%
Serie E 26.600.000,00 Euribor 3M + 2.10%
Serie F 14.300.000,00 Euribor 3M + 1.00%
Total 1.914.300.000,00 €
FTA Serie A1 Euribor 3M + 0.05% Fitch España/ Moody´s España 14/12/2006 2.900.000.000,00 €
1.300.100.000,00
SANTANDER EMPRESAS 2 Serie A2 1.365.000.000,00 Euribor 3M + 0.16%
Serie B 84.100.000,00 Euribor 3M + 0.22%
Serie C 62.300.000,00 Euribor 3M + 0.32%
Serie D 59.500.000,00 Euribor 3M + 0.55%
Serie E 29.000.000,00 Euribor 3M + 2.10%
Serie F 53.700.000,00 Euribor 3M + 0.50%
Total 2.953.700.000,00 €
FTA Serie A1 Euribor 3M + 0,06% Fitch España/ Moody´s España 14/12/2006 2.800.000.000,00 €
613.300.000,00
SANTANDER HIPOTECARIO 3 Serie A2 1.540.000.000,00 Euribor 3M + 0,14%
Serie A3 420.000.000,00 Euribor 3M + 0,20%
Serie B 79.200.000,00 Euribor 3M + 0,22%
Serie C 47.500.000,00 Euribor 3M + 0,30%
Serie D 72.000.000,00 Euribor 3M + 0,55%
Serie E 28.000.000,00 Euribor 3M + 2,10%
Serie F 22.400.000,00 Euribor 3M + 0,50%
Total 2.822.400.000,00 €

TOTAL FTA 33.175.520.388,62 € 34.849.576.870,74 €
